epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,463.223,1.96971,2.49893,1.91402,0.07535,0.29217,0.26205,0.17894,0.06511,2.04226,2.19843,1.66972,0.06368,0.000550054,0.000550054,0.000550054
2,782.672,1.61061,1.67083,1.58451,0.0573,0.44065,0.31292,0.27472,0.10846,1.86388,1.83715,1.58959,0.05239,0.00108383,0.00108383,0.00108383
3,1101.7,1.4716,1.46266,1.48968,0.04808,0.503,0.33163,0.31633,0.14423,1.82135,1.73441,1.61319,0.04884,0.0015956,0.0015956,0.0015956
4,1426.34,1.42403,1.40666,1.45796,0.0485,0.59264,0.35584,0.37022,0.18832,1.65485,1.61925,1.51534,0.04614,0.00156798,0.00156798,0.00156798
5,1751.04,1.36078,1.33664,1.41319,0.04538,0.58697,0.3901,0.37647,0.20616,1.56584,1.59707,1.52136,0.04415,0.00153497,0.00153497,0.00153497
6,2126.96,1.31174,1.27861,1.37959,0.04567,0.6495,0.39966,0.40915,0.22665,1.60574,1.52766,1.49204,0.04708,0.00150197,0.00150197,0.00150197
7,2447.69,1.26753,1.2447,1.36374,0.04324,0.61294,0.39795,0.41729,0.23381,1.57879,1.51272,1.51148,0.04892,0.00146896,0.00146896,0.00146896
8,2766.42,1.25532,1.19796,1.34085,0.04356,0.60056,0.36991,0.40046,0.21345,1.56236,1.52965,1.46591,0.0492,0.00143595,0.00143595,0.00143595
9,3083.23,1.22752,1.20986,1.32201,0.04187,0.63525,0.39326,0.41712,0.23968,1.46662,1.45294,1.45471,0.04779,0.00140295,0.00140295,0.00140295
10,3411.59,1.21162,1.17058,1.3135,0.04145,0.59248,0.39355,0.42151,0.23461,1.46607,1.46804,1.45937,0.04903,0.00136994,0.00136994,0.00136994
11,3744.57,1.18958,1.14549,1.29256,0.04037,0.64316,0.42051,0.43174,0.24716,1.44742,1.35584,1.45868,0.04312,0.00133693,0.00133693,0.00133693
12,4065.53,1.21993,1.16398,1.31314,0.04064,0.66454,0.41747,0.43955,0.25411,1.43149,1.41321,1.43581,0.04459,0.00130393,0.00130393,0.00130393
13,4397.76,1.16553,1.12389,1.29118,0.04204,0.70968,0.40324,0.44662,0.26458,1.41518,1.35881,1.49508,0.0447,0.00127092,0.00127092,0.00127092
14,4730.73,1.1532,1.11098,1.30303,0.0401,0.67957,0.39709,0.43579,0.26333,1.36919,1.35594,1.41119,0.04537,0.00123791,0.00123791,0.00123791
15,5071.57,1.12913,1.089,1.27762,0.03901,0.64842,0.43309,0.44798,0.25554,1.40474,1.36792,1.45155,0.04661,0.00120491,0.00120491,0.00120491
